id	name	plz	ort	website	telefon	loecher	restaurant	driving_range	schnupperkurse	platzreifekurse	email	notiz
20	Bavaria Golf Anthal			https://www.golf-anthal.de	08684888	9	1	1	1	1	info@golf-anthal.de	 | alle: info@golf-anthal.de
218	Golf-Club Neumarkt e.V.			https://www.golfclub-neumarkt.de	09188 3979	18	1	1	1	1	club@golfclub-neumarkt.de	 | alle: club@golfclub-neumarkt.de
265	Golfanlage Puschendorf			https://www.golfanlage-puschendorf.de	0 91 01 / 7552	9	1	1	1	1	buero@golfanlage-puschendorf.de	 | alle: buero@golfanlage-puschendorf.de
386	Golfclub Hellengerst - Hanusel Hof			https://www.golf-allgaeu.de	08378/9200-14	18	1	0	1	1	info@golf-allgaeu.de	 | alle: golf@hanusel-hof.de, info@hanusel-hof.de, info@golf-allgaeu.de
564	Golfclub zu Gut Ludwigsberg e.V.			https://www.golfclub-tuerkheim.de	(0 82 45) 33 22	18/9	0	1	1	1	info@golfclub-tuerkheim.de	 | alle: website@golfclub-tuerkheim.de, info@golfclub-tuerkheim.de, %20info@golfclub-tuerkheim.de
275	Golfclub Abenberg e.V.	91183	Abenberg	https://www.golfclubabenberg.de	09178 98960	27/6	1	1	1	1	info@golfclub-abenberg.de	 | alle: manager@golfclub-abenberg.de, erik@golfclub-abenberg.de, info@golfclub-abenberg.de
73	Golf Club Berchtesgadener Land e.V.	83404	Ainring	https://www.gcbgl.de	08654 69020	18	1	1	1	1	info@gcbgl.de	 | alle: info@gcbgl.de, rau@gcbgl.de, maximilian@golfschulesalzburg.at, ronny@golfschulesalzburg.at, markus@golfschulesalzburg.at
355	Golfclub Gäuboden e.V.	94330	Aiterhofen	https://www.golfclub-gaeuboden.de	09421 72804	18	0	1	1	1		Fehler: URLError
626	Golfzentrum München-Aschheim	85609	Aschheim	https://www.gcaschheim.de	089 9902420	18	1	1	1	1	info@golf-aschheim.de	 | alle: info@gcaschheim.de, info@golf-aschheim.de
629	GREEN HILL Der Golf & Eventpark München-Ost	85609	Aschheim	https://www.greenhill-golf.de	089 99981687-0	9-Loch Kurzplatz	0	1	1	1	info@greenhill-golf.de	 | alle: support@webador.de, info@greenhill-golf.de
571	GolfPark Augsburg	86199	Augsburg	https://www.golfpark-augsburg.de	0821 906500	9	1	1	1	1	info@golfpark-augsburg.de	 | alle: info@golfpark-augsburg.de
83	Golf Club Gersthofen e.V.	86169	Augsburg / Bay	https://www.golfclub-gersthofen.de	0821 2413799	9	1	1	1	1	info@golfclub-gersthofen.de	 | alle: info@golfclub-gersthofen.de
294	Golfclub Bad Abbach-Deutenhof e.V.	93077	Bad Abbach	https://www.golf-badabbach.de	09405 9532-0	18/9	0	1	1	1		keine Adresse gefunden
22	Bella Vista Golfpark Bad Birnbach	84364	Bad Birnbach / Rottal	https://www.bellavista-golfpark.de	08563977400	18 (+ 9 Kurzplatz)	1	1	1	1	kurverwaltung@badbirnbach.de	 | alle: kurverwaltung@badbirnbach.de, info@bellavista-golfpark.de, info@rottal-terme.de, florian.kolbinger@badbirnbach.de, leitung@badbirnbach.net, beschwerde@versicherungsombudsmann.de
