id	dgv_id	name	plz	ort	strasse	lat	lng	loecher	website	telefon	schnupperkurse	platzreifekurse	driving_range	restaurant	partner_id
20	8912	Bavaria Golf Anthal				47.991723	12.799409	9	https://www.golf-anthal.de	08684888	1	1	1	1	0
218	8916	Golf-Club Neumarkt e.V.				49.301792	11.395081	18	https://www.golfclub-neumarkt.de	09188 3979	1	1	1	1	0
265	8825	Golfanlage Puschendorf				49.528846	10.823747	9	https://www.golfanlage-puschendorf.de	0 91 01 / 7552	1	1	1	1	0
386	8744	Golfclub Hellengerst - Hanusel Hof				47.659004	10.198620	18	https://www.golf-allgaeu.de	08378/9200-14	1	1	0	1	0
564	8882	Golfclub zu Gut Ludwigsberg e.V.				48.073283	10.644153	18/9	https://www.golfclub-tuerkheim.de	(0 82 45) 33 22	1	1	1	0	0
701	8863	St. Eurach Land u. Golfclub e.V.				47.786981	11.343040	18	https://www.eurach.de	08801 915 830	1	0	1	0	360
275	8801	Golfclub Abenberg e.V.	91183	Abenberg	Am Golfplatz 19	49.252591	10.965720	27/6	https://www.golfclubabenberg.de	09178 98960	1	1	1	1	0
73	8905	Golf Club Berchtesgadener Land e.V.	83404	Ainring	Weng 12	47.843964	12.904895	18	https://www.gcbgl.de	08654 69020	1	1	1	1	0
355	8914	Golfclub Gäuboden e.V.	94330	Aiterhofen	Fruhstorf 6	48.869043	12.660912	18	https://www.golfclub-gaeuboden.de	09421 72804	1	1	1	0	0
626	8889	Golfzentrum München-Aschheim	85609	Aschheim	Fasanenallee 10	48.178646	11.699231	18	https://www.gcaschheim.de	089 9902420	1	1	1	1	0
629	8708	GREEN HILL Der Golf & Eventpark München-Ost	85609	Aschheim	Am Mühlbach 99	48.183327	11.701450	9-Loch Kurzplatz	https://www.greenhill-golf.de	089 99981687-0	1	1	1	0	0
571	8935	GolfPark Augsburg	86199	Augsburg	Lindauer Straße 56	48.326698	10.863827	9	https://www.golfpark-augsburg.de	0821 906500	1	1	1	1	0
83	8707	Golf Club Gersthofen e.V.	86169	Augsburg / Bay	Unterer Auweg 6	48.425530	10.895150	9	https://www.golfclub-gersthofen.de	0821 2413799	1	1	1	1	0
294	8908	Golfclub Bad Abbach-Deutenhof e.V.	93077	Bad Abbach	Deutenhof 2	48.911847	12.000646	18/9	https://www.golf-badabbach.de	09405 9532-0	1	1	1	0	0
22	8978	Bella Vista Golfpark Bad Birnbach	84364	Bad Birnbach / Rottal	Bella Vista Allee 1	48.446366	13.075644	18 (+ 9 Kurzplatz)	https://www.bellavista-golfpark.de	08563977400	1	1	1	1	0
705	8950	Thermen Golf Bad Füssing-Kirchham e.V.	94072	Bad Füssing	Thierham 3	48.338897	13.287128	18	https://www.thermengolf.de	08537 91990	1	1	1	1	0
664	8959	MARC AUREL Spa & Golf Resort	93333	Bad Gögging	Heiligenstädter Str. 34-36	48.816646	11.787328	9	https://www.marcaurel.de	(0 94 45) 95 8-0	0	0	1	0	0
247	8878	Golf-Resort Bad Griesbach e.V.	94086	Bad Griesbach	Holzhäuser 8	48.471274	13.172361	129 (5*18/3*9/2*6)	http://www.quellness-golf.com	0 85 32 - 79 00	1	1	1	1	0
490	8805	Golfclub Sagmühle e.V.	94086	Bad Griesbach	Golfplatz Sagmühle 1	48.416445	13.174388	18	https://www.sagmuehle.de	+498532  2038	1	1	1	1	0
173	8806	Golf-Club Bad Kissingen e.V.	97688	Bad Kissingen	Euerdorfer Straße 11	50.177226	10.071186	18	https://www.golfclubbadkissingen.de/	0971 3608	1	1	1	0	0
529	8871	Golfclub Stiftland e.V.	95698	Bad Neualbenreuth	Ottengrün 50	49.970849	12.426622	18/9	https://www.gc-stiftland.de	09638 1271	1	1	1	1	356
400	8861	Golfclub Isarwinkel e.V.	83646	Bad Tölz	Am Golfplatz 65	47.755773	11.580841	9	https://www.gc-isarwinkel.de	(0 80 41) 77 8 77	1	1	1	1	0
703	8808	Tegernseer Golf-Club Bad Wiessee e.V.	83707	Bad Wiessee	Rohbognerhof	47.726423	11.717119	18	https://www.tegernseer-golf-club.de	08022 271130	0	0	1	1	0
469	8888	Golfclub Reichsstadt Bad Windsheim e.V.	91438	Bad Windsheim	Otmar-Schaller-Allee 1	49.510701	10.392413	18/6	https://www.golf-bw.de	09841 5027	1	1	1	1	0
381	8903	Golfclub Hauptsmoorwald Bamberg e.V.	96050	Bamberg	Walnussweg 81	49.912697	10.936868	9	https://www.gc-hauptsmoorwald.de	0951 9684331	1	1	0	0	0
178	8911	Golf-Club Bayreuth e.V.	95448	Bayreuth	Rodersberg 43	49.956117	11.628899	18/9	https://www.golfclub-bayreuth.de	0921 970704	1	1	1	1	0
8	8968	Altmühlgolf Beilngries GmbH	92339	Beilngries	Ottmaringer Tal 1	49.044120	11.497386	9	https://www.altmuehlgolf.de	08461 6063333	1	1	1	1	0
304	8811	Golfclub Berchtesgaden e.V.	83471	Berchtesgaden	Salzbergstraße 33	47.634200	13.035360	9	https://www.golfclub-berchtesgaden.de	+4986522100	0	0	1	0	0
610	8924	Golfplatz Stenz	86975	Bernbeuren	Stenz 1	47.744285	10.792045	9	https://www.golfplatz-stenz.de	08860 582	1	1	1	1	0
293	8804	Golfclub Augsburg e.V.	86399	Bobingen-Burgwalden	Engelshofer Straße 2	48.283402	10.756627	18 + 6 Loch Kurzplat	http://www.golfclub-augsburg.de	08234 5621	1	1	1	1	0
254	8732	Golfanlage Gut Leimershof	96149	Breitengüßbach	Leimershof 9	49.986310	10.963836	18 Loch	http://www.leimershof-golfanlage.de	095478709939	1	1	0	1	0
591	8703	Golfpark Rothenburg-Schönbronn	91592	Buch am Wald	Schönbronn1	49.325461	10.278727		https://www.gp-rbg.de	09868 959530	1	1	0	1	0
432	8904	Golfclub Memmingen Gut Westerhart e.V.	87740	Buxheim	Westerhart 1b	47.965444	10.119916	18/9	https://www.golfclub-memmingen.de	0833171016	1	1	1	1	0
183	8814	Golf-Club Chieming e.V.	83339	Chieming-Hart	Kötzing 1	47.935581	12.552977	18/9	http://www.golfchieming.de/	08669 87330	0	0	1	0	344
85	8937	Golf Club Gut Ising e.V.	83339	Chieming/ Ising	Kirchberg 3	47.923200	12.507548	9	https://www.gut-ising.de	(0 86 67) 7 93 58	0	1	1	1	0
291	8802	Golfclub Ansbach e.V.	91598	Colmberg	Rothenburger Straße 35	49.358662	10.402141	18	https://www.golf-ansbach.de	09803600	1	1	1	1	0
75	8816	Golf Club Dachau e.V.	85221	Dachau	An der Flosslände 3	48.274103	11.456075	9	https://www.gcdachau.de	08131 10879	1	0	1	0	0
326	8979	Golfclub Dillingen Nusser-Alm GmbH	89407	Dillingen	Holzheimerstr. 2	48.541810	10.506138	9	https://www.gc-dillingen.de	09071 705958	1	1	0	1	0
327	8988	Golfclub Dinkelsbühl e. V.	91550	Dinkelsbühl	Seidelsdorf 65	49.077222	10.294044	9-Loch	https://www.golfclub-dinkelsbühl.de	09851582259	0	0	1	0	0
575	8929	Golfpark Donauwörth	86609	Donauwörth	Lederstatt 1	48.740355	10.800967	18/4	https://www.golfpark-donauwoerth.de/	0906 4044	1	1	1	1	0
379	8952	Golfclub Hassberge e.V.	97500	Ebelsbach (OT. Steinbach)	Hainach-Neue Laube 1	49.994552	10.649926	18	https://www.golfclub-hassberge.de	09522 7085500	1	1	1	1	0
351	8819	Golfclub Fränkische Schweiz e.V.	91320	Ebermannstadt	Kanndorf 8	49.776957	11.248598	18	https://www.gc-fs.de	091944827	1	1	1	1	0
273	8986	Golfanlagen Erlangen Besitz GmbH & Co. KG	90542	Eckental	Orchideenstr. 18	49.597741	11.185146	18	https://www.gc-erlangen.de	09 11 - 37 36 37 6	0	0	0	0	0
440	8844	Golfclub München-Riedhof e.V.	82544	Egling	Riedhof 16	47.923768	11.465167	18	https://www.riedhof.de	08171 21950	1	1	1	1	0
494	8705	Golfclub Schloss Egmating	85658	Egmating	Schloßstr. 15	48.002275	11.795964		https://www.gc-egmating.de	08095 90860	1	1	0	1	0
438	8820	Golfclub München Eichenried	85452	Eichenried	Münchner Straße 57	48.275604	11.775103	27	https://www.gc-eichenried.de	08123 93080	1	1	1	1	0
683	8706	OPEN.9 Golf Eichenried	85452	Eichenried	Schönstraße 45	48.270886	11.755874	9	https://www.open9.de	08123 989280	1	1	1	1	361
21	8971	Bavarian Golfclub München-Eicherloh e.V.	85464	Eicherloh	Vordere Moosstr. 19	48.233809	11.769308	9	https://www.bavariangc.de	08123 1064	1	1	1	1	0
563	8932	Golfclub Zollmühle e.V.	91792	Ellingen	Zollmühle 1	49.081305	10.966506	18/9	https://www.golfanlage-zollmuehle.de	(0 91 41) 39 76	1	1	1	1	0
341	8821	Golfclub Erding-Grünbach e.V.	85461	Erding	Am Kellerberg 13	48.331034	12.008564	18	https://www.golf-erding.de	08122 49650	0	0	1	1	345
606	8991	Golfplatz Leonhardshaun	84061	Ergoldsbach	Martinshaun 230	48.668930	12.224414	9	https://www.golfplatz-leonhardshaun.de	08771 4096380	1	1	1	1	0
345	8823	Golfclub Eschenried e.V.	85232	Eschenried	Am Kurfürstenweg 10	48.349217	11.422080	69 (18+18+18+9+6)	https://www.muenchner-golf-eschenried.de	0813156740	1	1	1	1	0
307	8812	Golfclub Beuerberg e.V.	82547	Eurasburg	Gut Sterz 3	47.822791	11.425340	18	https://www.golfclub-beuerberg.de	08179 617	1	0	1	1	0
188	8824	Golf-Club Feldafing e.V.	82340	Feldafing	Tutzinger Strasse 15	47.944405	11.298108	18	https://www.golfclub-feldafing.de	08157 9334-0	1	1	1	1	0
