Anlage;Ort;Ansprechpartner;E-Mail;Telefon;Status im System;Logo eingespielt;Bilder eingespielt;Vertragsstatus (manuell pflegen)
GC Augusta National;Tuntenhausen;Marie Hoffmann (Clubmanagerin);hallo@fair-way-golf.com;08989137735;aktiv;ja;3;
GC Julius Klinzer Test Greeneagle;Wolfratshausen;Julius Klinzer (Clubmanager);jklinzer@ymail.com;015234348249;aktiv;ja;4;
Golf Gut Jersbek;Jersbek;;;;aktiv;ja;4;
Golf- und Landclub Bayerwald;Jandelsbrunn;;;;aktiv;NEIN;0;
Golf- und Landclub Bergkramerhof;Wolfratshausen;;;;aktiv;ja;4;
Golf-Club Escheburg;Escheburg;;;;aktiv;NEIN;0;
Golf-Club Gut Grambek;Grambek;;;;aktiv;NEIN;0;
Golfanlage Holledau;Rudelzhausen;;;;aktiv;ja;4;
Golfclub Chieming;Chieming;;;;aktiv;NEIN;0;
Golfclub Erding-Grünbach;Grünbach;;;;aktiv;ja;4;
Golfclub Hamburg-Ahrensburg;Ahrensburg;;;;aktiv;ja;3;
Golfclub Lutzhorn;Lutzhorn;;;;aktiv;ja;4;
Golfclub Mangfalltal;Feldkirchen-Westerham;;;;aktiv;NEIN;0;
Golfclub Schloss Igling;Igling;;;;aktiv;NEIN;0;
Golfclub Schloss Maxlrain;Maxlrain;;;;aktiv;NEIN;0;
Golfclub Schwäbisch Hall;Schwäbisch Hall;;;;aktiv;NEIN;0;
Golfclub Stiftland;Bad Neualbenreuth;;;;aktiv;ja;4;
Golfclub Waldegg-Wiggensbach;Wiggensbach;;;;aktiv;ja;3;
Golfpark Weidenhof;Pinneberg;;;;aktiv;ja;0;
Gut Kaden Golf und Land Club;Alveslohe;;;;aktiv;ja;4;
OPEN.9 Golf Eichenried;Moosinning;;;;aktiv;ja;4;
St. Eurach Land- und Golfclub;Iffeldorf;;;;aktiv;NEIN;0;
